Accum,vanilla,akismet,cf7,ai1seo,yoastseo,jetpack,sitemaps,nextgen,importer,woocommerce,analytics
0.40,21.191222570533,22.096672944131,20.890840652447,21.455457967378,16.813602015113,17.126725219573,20.151133501259,9.6977329974811,19.697923222152,5.5485498108449,16.260162601626
0.41,22.633228840125,23.91713747646,21.957340025094,22.521957340025,17.947103274559,17.816813048933,21.47355163728,10.894206549118,21.019509125236,6.7465321563682,17.385866166354
0.42,24.764890282132,26.051475204018,23.212045169385,24.090338770389,19.332493702771,18.506900878294,23.614609571788,12.216624685139,22.907488986784,7.061790668348,18.574108818011
0.43,27.335423197492,28.12303829253,24.905897114178,26.097867001255,20.591939546599,20.012547051443,25.44080604534,13.035264483627,25.173064820642,8.890290037831,19.387116948093
0.44,29.905956112853,30.131826741996,26.976160602258,28.042659974906,21.725440806045,21.455457967378,27.518891687657,13.979848866499,27.627438640654,11.538461538462,20.825515947467
0.45,33.040752351097,32.768361581921,29.109159347553,30.238393977415,22.607052896725,22.961104140527,30.226700251889,14.92443324937,29.767149150409,13.177805800757,21.701063164478
0.46,35.611285266458,35.028248587571,31.618569636136,33.249686323714,24.748110831234,25.094102885822,32.493702770781,15.869017632242,32.221522970422,14.37578814628,22.889305816135
0.47,37.868338557994,37.28813559322,34.504391468005,36.260978670013,26.952141057935,27.101631116688,35.327455919395,16.813602015113,34.864694776589,15.321563682219,24.828017510944
0.48,40,39.673571876962,36.700125470514,39.460476787955,28.463476070529,29.548306148055,38.224181360202,17.821158690176,36.941472624292,16.267339218159,27.204502814259
0.49,41.880877742947,42.56120527307,39.648682559598,41.907151819322,31.297229219144,32.120451693852,40.554156171285,18.765743073048,39.584644430459,18.032786885246,29.080675422139
0.50,43.636363636364,45.134965473949,42.409033877039,44.479297365119,34.256926952141,34.44165621079,42.821158690176,20.214105793451,42.542479546885,18.915510718789,32.520325203252
0.51,45.76802507837,47.645951035782,44.730238393977,46.863237139272,36.964735516373,37.515683814304,44.773299748111,22.35516372796,44.870988042794,19.987389659521,35.397123202001
0.52,48.401253918495,50.094161958569,47.616060225847,49.435382685069,39.231738035264,39.209535759097,46.536523929471,24.433249370277,46.633102580239,21.185372005044,38.27392120075
0.53,50.407523510972,51.72630257376,50.941028858218,51.944792973651,41.183879093199,41.468005018821,49.811083123426,26.385390428212,48.772813089994,22.635561160151,40.900562851782
0.54,52.476489028213,53.797865662272,53.450439146801,53.826850690088,43.324937027708,45.04391468005,51.826196473552,27.959697732997,51.541850220264,24.022698612863,43.96497811132
0.55,54.420062695925,55.932203389831,55.457967377666,55.520702634881,45.151133501259,47.867001254705,53.52644836272,30.478589420655,53.996224040277,25.662042875158,46.216385240775
0.56,57.617554858934,58.317639673572,57.465495608532,58.281053952321,47.732997481108,50.439146800502,55.793450881612,31.863979848866,56.576463184393,27.931904161412,48.717948717949
0.57,59.435736677116,60.075329566855,60.414052697616,60.915934755332,50,53.262233375157,57.682619647355,33.942065491184,58.275645059786,30.517023959647,50.969355847405
0.58,60.940438871473,62.021343377276,62.923462986198,63.174404015056,51.889168765743,55.520702634881,59.445843828715,35.642317380353,60.667086217747,33.228247162673,52.595372107567
0.59,62.194357366771,63.276836158192,64.617314930991,64.868255959849,53.589420654912,57.528230865747,61.209068010076,37.657430730479,61.862806796727,36.002522068096,54.846779237023
0.60,63.636363636364,64.281230382925,65.746549560853,66.24843161857,56.108312342569,60.664993726474,62.468513853904,39.294710327456,63.499056010069,39.092055485498,57.160725453408
0.61,64.952978056426,65.662272441933,67.252195734003,67.377666248432,58.375314861461,63.550815558344,63.727959697733,41.561712846348,64.883574575205,40.731399747793,59.78736710444
0.62,66.457680250784,66.91776522285,68.757841907152,68.31869510665,60.51637279597,65.621079046424,64.420654911839,43.073047858942,66.519823788546,43.316519546028,61.788617886179
0.63,67.398119122257,67.859384808537,69.69887076537,69.134253450439,61.83879093199,67.063989962359,65.80604534005,44.773299748111,67.526746381372,45.271122320303,63.352095059412
0.64,68.401253918495,68.989328311362,70.451693851945,69.824341279799,63.035264483627,68.255959849435,66.813602015113,46.662468513854,68.407803650094,48.738965952081,65.040650406504
0.65,68.777429467085,69.805398618958,71.141781681305,70.953575909661,65.050377833753,69.259723964868,67.506297229219,47.858942065491,69.41472624292,50.882723833544,66.729205753596
0.66,69.717868338558,70.244821092279,72.020075282309,71.76913425345,65.869017632242,70.639899623588,68.765743073048,49.55919395466,69.981120201385,53.341740226986,68.167604752971
0.67,70.407523510972,71.186440677966,72.710163111669,72.521957340025,67.065491183879,71.643663739021,69.395465994962,50.692695214106,70.736312146004,54.981084489281,69.355847404628
0.68,71.28526645768,71.87696170747,73.462986198243,72.647427854454,68.261964735516,72.396486825596,69.836272040302,52.2040302267,70.98804279421,57.124842370744,70.168855534709
0.69,71.912225705329,72.881355932203,73.839397741531,73.337515683814,68.828715365239,73.525721455458,70.528967254408,53.400503778338,71.932032724984,59.016393442623,71.169480925579
0.70,73.166144200627,73.760200878845,74.529485570891,74.466750313676,69.521410579345,74.65495608532,71.221662468514,55.226700251889,73.442416614223,60.907944514502,71.544715447155
0.71,73.918495297806,74.952919020716,75.533249686324,75.595984943538,69.836272040302,75.470514429109,72.040302267003,57.178841309824,74.575204531152,62.547288776797,72.107567229518
0.72,74.858934169279,75.957313245449,76.599749058971,77.352572145546,70.088161209068,76.160602258469,72.732997481108,58.627204030227,75.204531151668,64.312736443884,72.670419011882
0.73,75.799373040752,76.522284996861,77.979924717691,78.356336260979,70.969773299748,76.787954830615,73.614609571788,59.949622166247,75.833857772184,65.636822194199,73.608505315822
0.74,76.865203761755,77.15003138732,78.356336260979,79.360100376412,72.35516372796,78.042659974906,74.55919395466,60.642317380353,76.840780365009,66.582597730139,74.546591619762
0.75,77.617554858934,77.903327055869,79.171894604768,80.614805520703,72.921914357683,79.485570890841,76.007556675063,61.586901763224,78.162366268093,67.65447667087,75.984990619137
0.76,78.369905956113,78.907721280603,80.30112923463,81.430363864492,73.803526448363,80.112923462986,77.2040302267,62.405541561713,78.854625550661,68.663303909206,76.67292057536
0.77,79.059561128527,80.163214061519,81.242158092848,82.434127979925,74.55919395466,80.928481806775,78.715365239295,63.476070528967,79.735682819383,69.356872635561,77.485928705441
0.78,79.561128526646,81.167608286252,82.308657465496,83.06148055207,75.566750629723,81.493099121706,80.037783375315,64.546599496222,80.239144115796,70.050441361917,78.048780487805
0.79,80.438871473354,82.360326428123,82.747804265997,83.500627352572,76.574307304786,81.806775407779,81.171284634761,65.176322418136,80.553807426054,70.870113493064,79.549718574109
0.80,80.626959247649,82.548650345261,82.936010037641,83.75156838143,76.889168765743,82.183186951067,81.675062972292,65.428211586902,80.805538074261,71.24842370744,80.112570356473
